no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
4113,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,USA,4211.31,12.75,11.74,1.23,4.58,1.4,4.97,12.02,3.31%,42.10%,1.32,26.20%,9.34%,11.50%,10.38%,6.00%,4.30%,-3.90%,235.6,226.52,0.20%,-66.76%,73.90%,-2.26%,5.99%,5.83,1.10%,10.50%,10.10%,,,1.24,1.24,,81.20%,31.70%,-1.52%,3.30%,6.02%,23.00%,31.42%,11.55%,0.98,0.46,2.35%,2.75%,0.53%,4.74%,12.43%,-4.36%,20.97%,-4.36%,35.58%,52.05,0.84%,-0.24%,2324.96,0.8,16.9,0.60%,1869385,1/26/2022 4:30:00 PM,17.6,10/12/2005,16.89,-0.06%,63.0,88,1.19,16.9,16.85,16.17,15.04,12.51,17.67,28.0,4.14,59.666666666666664,True
4394,KEX,Kirby Corporation,Industrials,Marine Shipping,USA,3989.75,,19.64,,1.78,1.41,73.34,12.69,,0.00%,-4.11,-292.00%,60.40%,-25.40%,3.20%,0.20%,,20.60%,60.06,59.48,0.50%,-13.19%,94.40%,-0.33%,3.60%,4.47,0.40%,0.80%,-5.70%,1.9,1.3,0.42,0.42,26.40%,2.50%,1.10%,5.36%,2.88%,18.14%,26.88%,4.18%,12.47%,1.4,1.96,2.86%,3.20%,3.90%,7.33%,13.24%,-2.22%,21.53%,-5.34%,40.46%,61.64,0.24%,-0.49%,479.04,0.87,66.83,-0.25%,418318,1/27/2022 8:30:00 AM,72.25,9/13/1976,66.83,0.00%,66.0,70,0.98,66.83,64.54,62.47,59.02,47.58,70.6,10.0,8.11,48.666666666666664,True
4711,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,USA,1088.36,,2.83,,0.98,4.84,21.17,2.76,,,-22.42,-153.00%,153.73%,19.50%,10.49%,2.20%,142.10%,118.60%,15.76,15.72,0.90%,-78.30%,72.60%,1.47%,14.32%,3.0,-13.60%,,-73.40%,0.3,0.3,6.02,6.02,61.10%,37.90%,-21.30%,-6.91%,2.15%,4.52%,81.88%,89.69%,14.49%,3.98,5.57,6.89%,8.62%,-0.33%,1.65%,5.01%,-11.99%,28.60%,-30.65%,159.68%,49.15,-1.28%,-1.61%,749.94,0.66,68.84,-2.86%,494379,2/22/2022 4:30:00 PM,99.33,12/15/2011,69.68,1.22%,53.0,98,1.76,68.84,69.33,67.69,65.72,26.51,99.26,15.0,44.29,55.333333333333336,True
4814,MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,USA,8828.8,9.78,13.93,0.98,1.62,6.62,59.45,19.96,,0.00%,2.54,158.80%,25.58%,-19.60%,10.00%,-4.30%,151.40%,7.70%,350.42,348.91,0.41%,-4.05%,,0.89%,7.15%,7.09,5.90%,44.30%,7.50%,1.6,1.1,1.96,2.05,48.20%,12.00%,5.90%,2.90%,14.79%,9.58%,16.96%,27.60%,15.17%,1.54,0.92,3.28%,4.32%,12.09%,14.38%,18.28%,-3.42%,29.53%,-3.42%,38.37%,66.5,-0.88%,0.32%,3519.88,0.99,24.83,-0.56%,3472584,2/9/2022 4:30:00 PM,29.54,8/12/1963,24.59,-0.97%,66.0,87,1.17,24.83,22.38,21.77,21.01,17.95,25.71,18.0,18.97,57.0,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,40916.68,30.24,11.77,2.33,0.16,,14.86,10.18,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.67,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,-0.14%,7.53%,20.13%,35.13%,52.15%,8.95%,0.73,6.47,1.82%,2.54%,2.77%,7.73%,26.13%,-4.22%,23.53%,-4.22%,59.92%,60.76,-1.07%,0.15%,1053.22,0.89,270.81,-0.93%,935311,2/2/2022 4:30:00 PM,300.87,11/10/1994,270.12,-0.25%,72.0,95,1.37,270.81,264.73,252.27,215.14,169.34,282.73,14.0,11.1,60.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,16706.7,9.68,5.84,1.38,1.52,1.64,19.82,28.34,1.00%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.13,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,-3.99%,11.03%,22.22%,46.48%,51.52%,14.53%,1.71,1.97,4.27%,4.83%,4.42%,10.67%,24.48%,-5.36%,30.13%,-5.36%,65.29%,57.56,-1.53%,-0.70%,5064.97,0.95,45.0,-2.22%,4820211,2/22/2022 4:30:00 PM,48.13,1/26/1988,45.0,0.00%,56.0,95,1.39,45.0,43.38,40.84,36.2,27.89,47.55,20.0,6.96,57.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,46565.52,36.94,14.75,1.23,0.39,1.72,3.52,31.36,3.01%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.64,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-5.14%,6.99%,22.84%,40.62%,40.42%,20.36%,1.94,2.26,2.73%,3.11%,1.40%,9.43%,21.96%,-5.36%,28.45%,-5.36%,53.46%,56.54,1.05%,-0.96%,6900.28,0.7,77.02,0.08%,4845186,2/2/2022 8:30:00 AM,85.33,6/23/2011,76.53,-0.64%,75.0,93,1.31,77.02,76.27,70.64,63.24,50.19,81.39,17.0,10.79,61.666666666666664,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23570.56,14.02,12.57,2.76,5.85,1.49,0.57,15.72,2.63%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,4.96,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,0.03%,9.62%,14.38%,34.38%,17.44%,18.73%,0.97,5.2,2.11%,2.89%,3.63%,9.16%,19.17%,-2.46%,28.88%,-2.46%,41.95%,59.16,0.42%,-0.59%,1254.59,1.19,182.35,-0.17%,1487933,1/20/2022 8:30:00 AM,187.74,3/17/1980,182.35,0.00%,53.0,81,1.09,182.35,177.07,167.65,153.12,128.46,186.95,18.0,2.96,50.666666666666664,True
5144,MTDR,Matador Resources Company,Energy,Oil & Gas E&P,USA,5066.51,19.11,6.79,1.84,3.84,3.1,69.31,5.85,0.45%,3.10%,2.34,-781.60%,60.99%,9.30%,10.40%,22.10%,171.90%,132.30%,117.01,109.77,1.40%,0.52%,91.90%,1.60%,8.95%,6.28,7.40%,19.30%,-15.30%,0.8,0.8,0.9,0.0,72.20%,31.00%,21.30%,0.81%,4.20%,5.13%,74.64%,120.58%,21.05%,4.16,2.64,5.05%,6.33%,1.36%,7.74%,23.16%,-8.38%,33.44%,-8.38%,140.14%,54.62,4.10%,-1.94%,1563.35,1.07,44.69,2.08%,1665978,2/22/2022 4:30:00 PM,53.13,2/2/2012,45.0,0.69%,66.0,99,2.1,44.69,44.31,41.54,36.37,18.65,48.78,18.0,18.89,61.0,True
5331,NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11071.6,25.33,19.62,7.2,2.35,2.34,287.57,15.48,3.09%,76.00%,1.12,-121.70%,6.93%,-18.40%,3.52%,0.10%,123.60%,6.30%,393.2,391.12,0.30%,-1.66%,97.70%,0.01%,4.10%,3.14,2.00%,9.20%,2.20%,0.7,0.4,1.92,2.02,73.90%,20.00%,9.50%,-1.08%,2.19%,13.26%,10.66%,27.12%,3.04%,0.3,0.62,2.15%,2.32%,-0.28%,2.45%,10.47%,-5.76%,10.74%,-5.76%,34.77%,51.53,0.07%,-0.49%,5105.88,0.98,28.45,-0.42%,5024478,2/23/2022 8:30:00 AM,30.3,12/19/1962,28.45,0.00%,72.0,83,1.12,28.45,28.58,27.82,25.77,21.11,30.19,17.0,6.5,57.333333333333336,True
5358,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,16547.33,17.87,14.74,1.44,6.01,,9.29,23.77,1.79%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.53,0.10%,-0.16%,98.25%,3.41%,4.60%,6.18,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,-6.33%,6.43%,12.87%,8.62%,36.37%,7.66%,0.63,0.82,2.62%,3.16%,1.70%,5.38%,7.04%,-9.53%,17.13%,-9.53%,44.10%,52.27,-0.18%,-0.60%,4311.74,1.98,27.97,-0.78%,8555395,2/3/2022 4:30:00 PM,29.26,6/23/1989,28.01,0.14%,66.0,90,1.23,27.97,27.6,26.61,26.17,19.41,30.92,16.0,4.61,57.333333333333336,True
5403,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,USA,6384.14,,21.99,,1.16,1.33,,13.91,1.16%,,-0.65,53.80%,340.45%,-30.00%,41.00%,-16.20%,57.40%,-3.10%,387.0,361.68,0.55%,-0.40%,96.40%,0.08%,3.94%,3.27,-5.60%,-10.60%,-36.40%,2.7,2.0,0.38,0.39,14.00%,-8.20%,-9.80%,-0.06%,7.28%,37.15%,41.43%,14.93%,27.23%,2.03,0.75,3.62%,4.78%,3.96%,13.19%,18.03%,-2.63%,38.36%,-4.33%,50.44%,60.28,2.31%,-1.52%,4363.04,0.95,17.24,0.76%,4152411,2/3/2022 4:30:00 PM,18.25,10/29/1996,17.24,0.00%,56.0,82,1.1,17.24,16.67,15.31,14.61,11.46,18.02,7.0,5.86,48.333333333333336,True
5599,OFG,OFG Bancorp,Financial,Banks - Regional,USA,1383.17,10.78,8.74,1.35,3.08,1.36,0.5,,1.73%,11.60%,2.58,43.70%,14.28%,40.90%,8.00%,3.10%,61.50%,-2.40%,51.52,48.86,0.90%,1.36%,94.40%,-0.32%,1.61%,2.92,1.30%,12.90%,32.50%,,,0.03,0.03,,88.60%,29.60%,-0.86%,0.14%,3.35%,18.67%,44.76%,4.59%,1.35,0.9,2.21%,3.24%,0.18%,1.69%,11.25%,-10.18%,15.89%,-10.18%,50.41%,49.57,0.73%,-0.51%,268.9,0.52,27.78,0.22%,140417,1/19/2022 8:30:00 AM,35.33,3/26/1987,27.78,0.00%,69.0,93,1.32,27.78,27.77,27.37,24.99,18.62,30.93,10.0,27.18,57.333333333333336,True
5698,ORI,Old Republic International Corporation,Financial,Insurance - Diversified,USA,8022.45,5.19,10.05,0.52,0.93,1.25,60.14,11.42,3.34%,16.20%,5.07,-46.70%,-0.61%,4.80%,10.00%,4.90%,-64.60%,18.10%,301.58,284.53,0.40%,-43.86%,55.40%,-0.49%,1.19%,2.23,6.60%,24.60%,8.90%,,,0.25,0.25,,12.70%,18.40%,-0.49%,6.69%,2.81%,6.31%,39.42%,7.04%,0.84,0.61,2.11%,2.46%,1.58%,4.36%,7.58%,-3.24%,14.39%,-3.24%,45.89%,55.82,0.80%,-0.50%,1520.78,2.32,26.31,0.30%,3526535,1/27/2022 8:30:00 AM,30.0,11/1/1982,26.31,0.00%,59.0,88,1.19,26.31,26.0,25.25,25.14,19.18,27.19,22.0,14.03,56.333333333333336,True
5751,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,34971.04,,11.1,,1.56,4.06,16.98,5.65,0.10%,,-0.79,155.00%,63.94%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,932.01,0.21%,0.00%,71.00%,0.57%,3.75%,2.04,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,-7.96%,13.19%,29.11%,80.23%,49.45%,36.46%,2.12,1.89,4.01%,5.18%,1.61%,15.43%,31.37%,-8.33%,51.86%,-8.33%,82.98%,56.82,0.97%,-1.71%,17097.48,0.85,39.56,-0.75%,14449343,2/24/2022 4:30:00 PM,43.68,7/2/1962,39.62,0.15%,53.0,95,1.4,39.56,39.23,34.45,30.18,21.62,43.16,7.0,10.41,51.666666666666664,True
5761,PACW,PacWest Bancorp,Financial,Banks - Regional,USA,5781.66,9.56,9.79,0.96,4.99,1.46,1.16,14.76,2.05%,19.80%,5.09,-372.30%,11.02%,-42.10%,10.00%,4.50%,926.80%,217.40%,117.18,115.14,1.00%,-1.62%,89.80%,-0.53%,2.78%,3.91,1.80%,15.70%,19.30%,,,0.22,0.0,,,50.90%,-2.39%,1.02%,1.08%,19.19%,29.49%,7.81%,1.41,1.78,3.15%,3.70%,0.41%,2.97%,8.75%,-6.00%,19.39%,-6.00%,37.88%,49.9,-0.65%,0.08%,818.26,0.76,48.7,-0.57%,618794,1/19/2022 4:30:00 PM,59.4,6/5/2000,48.8,0.21%,75.0,88,1.19,48.7,48.53,47.36,44.8,35.48,51.81,14.0,21.97,59.0,True
5854,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,USA,5597.98,132.85,5.22,4.88,4.37,2.14,56.04,4.53,0.86%,53.90%,0.42,-733.00%,23.92%,-33.40%,27.20%,17.60%,570.40%,95.20%,98.18,95.87,1.20%,-5.76%,,1.28%,8.20%,5.36,0.80%,1.70%,-15.10%,0.5,0.5,0.49,0.49,77.50%,9.30%,3.30%,-5.03%,-0.91%,0.44%,55.88%,83.02%,13.84%,2.99,3.07,4.79%,5.46%,-5.64%,2.23%,17.14%,-12.44%,26.20%,-12.44%,101.49%,44.15,-1.53%,-1.47%,1465.91,0.87,55.53,-2.97%,1282599,2/28/2022 4:30:00 PM,74.0,3/17/1980,55.53,0.00%,69.0,98,1.74,55.53,58.93,54.43,47.86,27.99,63.42,26.0,33.26,64.33333333333333,True
5894,PFBC,Preferred Bank,Financial,Banks - Regional,USA,1175.81,12.44,10.37,1.24,5.57,2.11,1.07,12.48,2.16%,25.20%,6.41,-9.80%,8.08%,16.90%,10.00%,17.70%,53.20%,1.50%,14.88,14.68,1.70%,0.00%,77.40%,-1.38%,3.12%,5.03,1.50%,14.70%,20.10%,,,0.26,0.26,,84.80%,38.20%,2.35%,3.10%,12.43%,31.55%,44.25%,11.12%,1.3,2.16,2.42%,2.81%,1.33%,6.16%,17.86%,-2.68%,28.62%,-2.68%,54.00%,56.32,0.81%,0.18%,91.09,2.41,79.77,0.99%,219632,1/19/2022 4:30:00 PM,89.5,8/19/1999,79.77,0.00%,63.0,94,1.35,79.77,78.88,75.38,67.74,52.39,81.97,12.0,12.2,56.333333333333336,True
6226,PUMP,ProPetro Holding Corp.,Energy,Oil & Gas Equipment & Services,USA,1180.72,,25.77,,1.51,1.49,13.96,41.28,,,-0.77,-167.60%,228.60%,-13.20%,-10.90%,6.70%,83.00%,87.10%,103.26,74.72,0.10%,-70.41%,75.00%,-0.81%,3.30%,2.85,-7.30%,-9.20%,-11.90%,1.3,1.2,0.0,0.0,24.60%,-13.10%,-10.00%,-2.87%,19.98%,47.94%,85.54%,18.81%,50.49%,2.8,0.61,5.07%,6.03%,8.26%,23.40%,32.13%,-6.30%,66.76%,-12.87%,90.77%,65.94,-0.33%,-2.32%,865.75,0.62,12.19,-2.64%,538073,2/22/2022 4:30:00 PM,12.36,3/17/2017,12.19,0.00%,63.0,86,1.16,12.19,11.37,9.95,9.23,6.39,13.99,-0.0,1.39,49.666666666666664,True
6248,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,54813.96,45.86,11.0,,3.83,2.46,75.61,15.84,0.99%,59.00%,5.09,-126.30%,64.94%,7.50%,,19.50%,889.30%,167.20%,244.0,242.59,0.40%,0.16%,86.50%,-0.01%,2.46%,2.64,4.30%,7.00%,1.50%,0.6,0.6,0.29,0.3,49.30%,28.50%,9.30%,1.08%,8.55%,32.06%,67.93%,70.16%,28.32%,1.66,8.35,4.03%,3.81%,6.01%,15.37%,35.78%,0.23%,39.77%,0.23%,80.12%,66.13,2.91%,-1.46%,2259.04,1.59,233.38,1.41%,3594495,2/16/2022 4:30:00 PM,238.85,12/22/1987,233.79,0.18%,72.0,97,1.57,233.38,221.47,203.26,174.16,131.81,237.56,26.0,2.34,65.0,True
6509,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,23002.98,14.97,12.02,1.75,2.2,2.6,2.8,10.82,1.25%,13.90%,7.25,71.00%,20.07%,22.20%,8.54%,12.40%,40.70%,24.70%,206.3,185.58,0.40%,-7.02%,76.50%,-0.29%,1.61%,2.5,2.50%,19.00%,3.20%,,,0.34,4.33,96.20%,18.60%,14.70%,-2.48%,6.76%,10.86%,19.84%,36.21%,8.09%,1.11,3.29,2.30%,3.21%,0.92%,4.14%,14.17%,-7.54%,16.66%,-7.54%,42.96%,51.0,0.24%,-0.66%,1194.58,0.97,108.52,-0.42%,1154649,1/26/2022 4:30:00 PM,133.88,7/1/1983,108.52,0.00%,72.0,90,1.24,108.52,108.05,104.4,95.14,75.91,117.37,15.0,23.37,59.0,True
6999,SM,SM Energy Company,Energy,Oil & Gas E&P,USA,3921.28,,6.86,,1.88,2.54,131.59,3.99,0.06%,,-4.83,-304.60%,258.11%,-0.30%,10.00%,-5.70%,180.40%,170.50%,121.46,119.07,1.10%,-6.15%,88.90%,5.69%,4.58%,2.09,-11.00%,-31.80%,-14.10%,0.3,0.3,1.27,1.27,78.10%,-20.30%,-26.50%,-8.03%,3.88%,4.04%,124.44%,155.60%,16.18%,5.59,2.33,5.50%,7.16%,-0.54%,4.77%,30.91%,-10.41%,35.75%,-10.46%,213.21%,50.03,0.12%,-2.84%,2614.17,0.78,34.25,-2.73%,2051858,2/24/2022 4:30:00 PM,45.04,12/16/1992,34.25,0.00%,56.0,100,2.72,34.25,34.58,32.74,26.25,11.17,38.25,29.0,31.5,61.666666666666664,True
7073,SNV,Synovus Financial Corp.,Financial,Banks - Regional,USA,7580.71,10.59,10.66,1.32,4.59,1.61,2.82,6.77,2.54%,33.60%,4.9,-34.20%,12.40%,7.10%,8.00%,13.80%,114.70%,-5.30%,146.31,144.22,0.70%,-16.76%,79.60%,0.23%,1.76%,2.59,1.10%,12.50%,17.50%,,,0.26,0.26,,91.20%,35.20%,-1.50%,5.77%,5.28%,22.47%,20.74%,8.38%,1.48,1.63,2.83%,3.17%,1.44%,4.08%,11.83%,-4.63%,19.95%,-4.63%,35.03%,52.58,-0.67%,-0.38%,979.87,0.8,51.88,-1.05%,784531,1/20/2022 8:30:00 AM,60.53,11/1/1982,51.88,0.00%,72.0,82,1.1,51.88,51.28,49.94,46.41,38.42,54.4,21.0,16.67,58.333333333333336,True
7402,TBBK,"The Bancorp, Inc.",Financial,Banks - Regional,USA,1732.8,15.61,13.19,1.3,7.89,2.63,5.43,8.89,,0.00%,1.88,54.30%,18.89%,57.90%,12.00%,20.30%,21.60%,1.90%,57.2,52.7,1.90%,-23.96%,,2.19%,1.92%,2.42,1.50%,16.90%,20.00%,,,0.22,0.71,,94.60%,46.80%,2.52%,-0.03%,-4.00%,23.16%,41.96%,15.76%,1.34,1.38,3.90%,4.43%,-0.54%,5.78%,11.23%,-10.37%,28.51%,-12.17%,49.87%,50.44,2.48%,-0.28%,418.05,1.03,29.3,2.20%,431252,1/27/2022 4:30:00 PM,37.33,2/3/2004,29.3,0.00%,84.0,92,1.29,29.3,29.49,27.75,26.37,19.55,33.36,15.0,27.41,63.666666666666664,True
7501,THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,USA,8974.45,9.56,12.18,,0.46,11.95,3.92,6.78,,0.00%,8.42,259.80%,3.83%,35.80%,-6.81%,-1.10%,320.10%,7.40%,107.05,105.5,0.90%,-24.29%,96.60%,0.67%,3.45%,3.4,1.60%,153.10%,10.60%,1.3,1.2,19.4,19.58,82.90%,9.90%,2.20%,-1.43%,2.67%,2.35%,10.85%,59.33%,-1.44%,2.51,4.42,4.24%,5.41%,3.67%,3.66%,12.06%,-8.71%,19.15%,-8.71%,63.82%,52.33,-3.91%,-0.37%,1073.03,1.17,80.51,-4.27%,1251574,2/7/2022 4:30:00 PM,98.76,4/28/1971,80.5,-0.01%,63.0,96,1.42,80.51,77.88,77.76,71.92,49.15,88.19,13.0,22.67,57.333333333333336,True
7512,THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,USA,3075.52,28.02,25.9,1.12,2.83,4.55,15.76,21.77,,0.00%,3.21,23.10%,28.24%,-7.10%,25.00%,1.30%,-36.30%,-6.20%,33.18,32.98,0.50%,-6.14%,,1.65%,2.14%,2.9,11.20%,17.20%,8.60%,2.7,1.9,0.06,0.06,30.30%,12.40%,9.90%,4.77%,-2.71%,5.45%,6.93%,21.19%,3.54%,1.27,3.33,3.39%,4.02%,0.71%,2.76%,10.96%,-9.11%,21.00%,-9.11%,39.61%,51.95,0.42%,-1.21%,243.44,0.67,89.98,-0.79%,163510,2/17/2022 8:30:00 AM,91.8,6/10/1993,89.98,0.00%,66.0,83,1.11,89.98,89.21,87.65,81.18,64.45,99.0,18.0,2.02,55.666666666666664,True
7628,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,USA,13788.33,52.66,21.64,9.24,0.98,6.5,60.32,6.98,2.25%,28.70%,1.18,-405.10%,49.58%,-54.00%,5.70%,4.40%,267.70%,110.90%,228.8,225.42,1.10%,-3.23%,89.20%,0.80%,1.95%,3.09,2.00%,13.70%,-9.70%,0.7,0.6,2.94,3.11,22.50%,8.50%,2.30%,-3.08%,11.75%,13.80%,48.36%,104.45%,18.86%,2.7,1.71,2.09%,3.07%,3.02%,10.79%,26.42%,-3.42%,30.52%,-3.42%,113.44%,62.17,0.31%,-0.90%,1421.51,0.74,62.09,-0.59%,1048104,11/4/2021 8:30:00 AM,68.55,12/7/2010,62.09,0.00%,78.0,98,1.86,62.09,60.6,56.22,49.24,29.09,64.29,20.0,10.4,65.33333333333333,True
7676,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,33407.27,8.65,11.6,1.15,0.67,1.81,11.3,17.42,1.99%,16.80%,10.67,48.00%,-5.09%,13.00%,7.50%,5.00%,138.70%,23.60%,362.0,285.54,1.20%,-5.15%,87.00%,1.27%,1.19%,1.47,10.30%,21.60%,12.60%,1.7,0.9,0.45,0.51,15.30%,10.40%,7.50%,-5.84%,2.00%,11.76%,15.42%,34.98%,5.86%,0.78,2.4,2.26%,2.38%,-0.98%,2.49%,14.12%,-8.39%,11.83%,-8.39%,37.51%,48.34,-0.75%,-0.26%,2302.12,1.49,92.27,-1.01%,3438666,2/7/2022 8:30:00 AM,101.18,3/17/1980,92.27,0.00%,63.0,90,1.23,92.27,93.3,90.2,80.93,67.23,100.72,11.0,9.66,54.666666666666664,True
7722,TWNK,"Hostess Brands, Inc.",Consumer Defensive,Packaged Foods,USA,2838.43,26.87,22.19,2.67,2.58,1.61,12.44,19.32,,0.00%,0.78,-7.90%,9.16%,-10.10%,10.08%,10.40%,-2.70%,10.40%,138.38,137.87,0.40%,0.00%,,-3.21%,2.23%,1.24,3.10%,6.40%,4.20%,2.2,2.0,0.66,0.67,35.90%,17.30%,9.70%,-0.52%,6.53%,14.47%,31.98%,34.88%,2.25%,0.7,0.54,2.73%,2.65%,2.15%,4.17%,18.67%,-3.56%,16.19%,-3.56%,47.46%,57.7,-0.43%,-0.43%,2475.08,0.92,20.88,-0.85%,2280955,3/1/2022 8:30:00 AM,22.3,11/30/2015,20.88,0.00%,72.0,90,1.22,20.88,20.51,20.09,17.62,14.16,21.65,15.0,6.8,59.0,True
7764,UCBI,"United Community Banks, Inc.",Financial,Banks - Regional,USA,4062.44,12.74,12.26,12.74,7.02,1.63,2.17,19.05,2.11%,26.60%,2.97,-17.30%,18.46%,11.90%,1.00%,14.90%,57.40%,4.20%,105.85,88.7,0.40%,-4.45%,76.90%,0.75%,3.51%,3.68,1.30%,12.30%,19.20%,,,0.12,0.12,,98.50%,41.90%,4.47%,5.58%,5.34%,27.01%,12.21%,5.31%,1.13,1.18,3.01%,3.19%,4.45%,5.03%,13.20%,-3.74%,16.32%,-3.74%,37.04%,58.49,1.28%,-0.11%,845.86,2.52,37.85,1.18%,2133085,1/18/2022 4:30:00 PM,41.25,3/18/2002,37.85,0.00%,69.0,75,1.03,37.85,36.37,36.1,33.45,27.62,39.32,49.0,8.98,64.33333333333333,True
7838,UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,USA,5089.7,18.57,14.0,1.05,0.56,2.31,23.05,31.36,,0.00%,1.58,148.40%,4.39%,17.80%,17.75%,-1.60%,188.50%,23.80%,170.9,167.12,0.30%,-18.98%,99.20%,-1.49%,1.73%,2.96,4.20%,13.60%,5.00%,1.8,1.3,1.02,1.05,24.80%,5.00%,3.00%,2.38%,7.52%,2.99%,29.25%,37.04%,3.35%,1.83,0.93,3.23%,3.25%,4.85%,5.44%,12.87%,-3.17%,15.82%,-3.17%,52.21%,57.9,-1.41%,0.24%,975.63,1.47,29.3,-1.18%,1437645,2/24/2022 4:30:00 PM,33.15,6/18/2015,29.45,0.51%,59.0,91,1.25,29.3,28.07,27.81,25.99,19.25,30.39,24.0,13.14,58.0,True
8064,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,34641.17,,11.9,,0.37,2.02,9.9,73.08,4.52%,,-1.09,-160.10%,4.88%,-19.50%,-13.80%,-5.90%,199.10%,86.70%,408.84,407.04,0.30%,-2.18%,79.00%,0.11%,3.13%,3.19,-2.50%,-7.60%,-2.10%,1.3,0.9,0.75,0.81,1.00%,-1.30%,-1.40%,-5.74%,6.52%,18.86%,44.05%,16.79%,15.46%,1.97,2.88,2.59%,3.72%,1.20%,8.76%,16.14%,-7.52%,33.15%,-7.52%,47.36%,54.82,0.72%,-1.08%,3991.63,0.67,86.72,-0.37%,2655160,1/27/2022 8:30:00 AM,94.95,11/1/1984,86.92,0.23%,72.0,81,1.09,86.72,86.06,80.05,74.7,58.85,93.77,23.0,9.49,58.666666666666664,True
8269,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,224624.49,11.23,11.49,,5.66,1.34,0.45,,1.44%,11.50%,4.96,-89.80%,23.25%,-36.90%,,-0.60%,181.20%,-8.90%,4056.3,3948.38,0.10%,0.00%,73.50%,-0.13%,0.92%,1.21,0.70%,8.60%,8.70%,,,0.97,0.97,,95.70%,36.20%,-4.60%,1.15%,11.48%,17.31%,49.30%,15.94%,1.18,1.68,2.52%,2.93%,-0.88%,4.47%,14.29%,-7.74%,20.28%,-7.74%,54.83%,48.82,-1.17%,0.25%,29911.38,0.74,55.63,-0.93%,22130244,1/14/2022 8:30:00 AM,62.84,12/10/1962,55.51,-0.22%,63.0,93,1.32,55.63,56.22,53.37,48.72,35.93,60.3,24.0,12.96,60.0,True
